Position,Registered on,On Waitlist
Faculty,04/22/2022 14:51 UTC,FALSE
Graduate Student,05/11/2022 16:30 UTC,TRUE
Graduate Student,04/22/2022 14:46 UTC,FALSE
Undergraduate Student,04/22/2022 15:47 UTC,FALSE
Graduate Student,04/22/2022 15:24 UTC,FALSE
Faculty,04/22/2022 17:17 UTC,TRUE
Faculty,04/24/2022 16:02 UTC,TRUE
Faculty,04/22/2022 14:19 UTC,FALSE
Faculty,04/22/2022 15:14 UTC,FALSE
Graduate Student,04/22/2022 16:47 UTC,TRUE
Faculty,04/22/2022 14:27 UTC,FALSE
Center Non-Researcher Staff,04/22/2022 14:39 UTC,FALSE
Faculty,04/22/2022 20:27 UTC,TRUE
University Research Staff (excluding postdoctorates),04/25/2022 16:57 UTC,TRUE
Faculty,04/24/2022 13:19 UTC,TRUE
Undergraduate Student,04/22/2022 03:58 UTC,FALSE
Graduate Student,04/25/2022 17:20 UTC,TRUE
University Research Staff (excluding postdoctorates),04/22/2022 14:54 UTC,FALSE
Postdoctorate,04/22/2022 14:43 UTC,FALSE
Graduate Student,04/22/2022 15:27 UTC,FALSE
University Research Staff (excluding postdoctorates),04/23/2022 00:14 UTC,TRUE
Faculty,05/02/2022 14:40 UTC,TRUE
Postdoctorate,04/22/2022 14:57 UTC,FALSE
Graduate Student,04/22/2022 14:10 UTC,FALSE
Graduate Student,04/22/2022 14:55 UTC,FALSE
Graduate Student,05/11/2022 20:57 UTC,TRUE
Postdoctorate,04/22/2022 14:58 UTC,FALSE
University Research Staff (excluding postdoctorates),04/25/2022 18:15 UTC,TRUE
Postdoctorate,04/22/2022 15:56 UTC,FALSE
High School Teacher,04/25/2022 12:18 UTC,TRUE
Faculty,04/22/2022 15:57 UTC,FALSE
Postdoctorate,05/13/2022 19:08 UTC,TRUE
Graduate Student,04/22/2022 15:31 UTC,FALSE
Postdoctorate,04/25/2022 20:36 UTC,TRUE
Graduate Student,05/05/2022 20:22 UTC,TRUE
Faculty,04/22/2022 18:16 UTC,TRUE
Faculty,04/26/2022 19:35 UTC,TRUE
Center Non-Researcher Staff,04/22/2022 14:07 UTC,FALSE
Center Researcher Staff,04/22/2022 17:36 UTC,TRUE
University Non-Research Staff,04/22/2022 14:41 UTC,FALSE
Graduate Student,04/22/2022 16:43 UTC,TRUE
Center Researcher Staff,04/22/2022 15:23 UTC,FALSE
Postdoctorate,04/29/2022 15:45 UTC,TRUE
Postdoctorate,04/26/2022 13:52 UTC,TRUE
Graduate Student,04/22/2022 18:12 UTC,TRUE
Graduate Student,04/23/2022 15:14 UTC,TRUE
University Non-Research Staff,04/22/2022 15:36 UTC,FALSE
University Research Staff (excluding postdoctorates),04/22/2022 14:55 UTC,FALSE
Postdoctorate,04/22/2022 14:45 UTC,FALSE
Graduate Student,04/22/2022 14:24 UTC,FALSE
Faculty,04/22/2022 15:24 UTC,FALSE
Faculty,05/11/2022 15:10 UTC,TRUE
Industrial User,04/22/2022 15:48 UTC,FALSE
University Research Staff (excluding postdoctorates),04/29/2022 15:58 UTC,TRUE
Faculty,04/22/2022 14:11 UTC,FALSE
University Research Staff (excluding postdoctorates),04/22/2022 15:40 UTC,FALSE
Faculty,04/27/2022 03:30 UTC,TRUE
University Non-Research Staff,04/28/2022 12:05 UTC,TRUE
Postdoctorate,04/22/2022 14:12 UTC,FALSE
Faculty,04/22/2022 15:20 UTC,FALSE
Graduate Student,04/25/2022 17:00 UTC,TRUE
Graduate Student,04/22/2022 14:41 UTC,FALSE
Faculty,04/22/2022 15:59 UTC,TRUE
Postdoctorate,04/22/2022 14:30 UTC,FALSE
Graduate Student,05/01/2022 18:59 UTC,TRUE
University Non-Research Staff,04/22/2022 15:09 UTC,FALSE
University Research Staff (excluding postdoctorates),04/22/2022 14:54 UTC,FALSE
Faculty,04/22/2022 19:41 UTC,TRUE
Other User,04/22/2022 14:10 UTC,FALSE
Faculty,05/13/2022 19:09 UTC,TRUE
Industrial User,05/05/2022 17:33 UTC,TRUE
Faculty,04/22/2022 15:20 UTC,FALSE
Postdoctorate,04/22/2022 16:16 UTC,TRUE
University Non-Research Staff,04/22/2022 14:38 UTC,FALSE
Faculty,04/23/2022 05:17 UTC,TRUE
University Research Staff (excluding postdoctorates),05/02/2022 19:02 UTC,TRUE
Postdoctorate,04/22/2022 14:32 UTC,FALSE
Graduate Student,04/22/2022 15:11 UTC,FALSE
Center Researcher Staff,04/22/2022 15:26 UTC,FALSE
Faculty,04/23/2022 22:39 UTC,TRUE
Graduate Student,04/23/2022 13:21 UTC,TRUE
University Research Staff (excluding postdoctorates),04/26/2022 14:11 UTC,TRUE
Center Researcher Staff,04/22/2022 14:19 UTC,FALSE
Faculty,04/22/2022 16:20 UTC,TRUE
Faculty,04/22/2022 14:43 UTC,FALSE
Faculty,04/22/2022 14:32 UTC,FALSE
